y_true,q0.1,q0.5,q0.9
986.6095,926.6249,1013.44714,1145.3223
1000.6891,923.5531,1008.6738,1138.9033
1004.06775,924.31775,1008.06116,1137.6156
1028.6864,921.0762,1003.8223,1132.1057
1027.9476,921.9559,1005.45667,1134.5306
999.7022,920.05,1003.0628,1131.5206
1002.7275,912.2721,993.96594,1120.115
1010.9996,908.05853,988.56396,1113.1594
1014.60223,900.68207,980.16504,1102.6978
1003.729,891.9747,969.5895,1089.199
989.4326,878.7743,953.68274,1068.8793
965.2577,864.61066,936.5772,1047.0327
938.69617,846.47205,915.987,1021.323
918.2977,829.31335,896.64294,997.2487
877.5261,811.3748,876.45825,972.18884
868.04407,789.16907,851.58136,941.39624
841.9522,768.57935,828.80035,913.2347
813.21564,744.30774,801.80615,879.79175
787.4468,718.0258,772.1895,842.9169
765.7729,689.256,739.5097,802.12866
741.6015,666.85443,713.3796,769.2576
720.13336,640.43567,685.1267,736.88043
698.2167,613.4966,656.9113,705.011
666.87164,589.9433,636.88074,688.4294
635.1539,554.6874,610.2667,669.1758
601.51416,509.27426,575.28,641.78796
568.5975,462.0936,538.98944,613.55444
535.7542,418.224,505.2441,587.27545
499.04187,373.66794,471.04813,561.07574
464.3979,326.29156,434.65152,532.94434
428.5541,282.36267,400.86307,506.63043
393.86087,242.77086,370.32785,482.48026
358.76474,208.91447,344.1153,461.3045
321.69678,172.77457,316.04694,438.29956
287.04236,132.41205,284.56494,411.75748
253.97244,96.847115,256.89545,388.7765
827.1757,766.41394,817.2622,894.10065
828.0617,770.1624,819.9753,896.69714
870.08875,770.1639,819.19696,895.3649
849.4735,788.3597,839.4261,920.35333
857.92163,782.1981,832.1263,911.1917
845.89923,787.50525,837.6502,918.00665
856.91174,786.7698,837.21674,917.69073
860.9712,795.95386,848.02997,931.3123
879.14526,802.5601,856.0558,941.56635
880.99817,813.09,867.74255,956.06366
889.38983,819.3634,875.36487,965.8151
913.17236,827.7095,885.1267,978.14606
897.6441,840.2592,899.0851,995.3821
897.38184,838.3374,897.3643,993.47754
911.0181,841.44073,900.3883,997.19696
907.8781,850.17365,911.0599,1010.7969
905.25476,851.83417,914.29816,1015.35425
912.5686,852.62366,915.3126,1016.767
913.3889,856.5312,919.34503,1021.66754
914.3627,858.1127,922.2693,1025.7292
927.56616,859.07336,923.30225,1027.038
936.64954,863.15735,927.1872,1031.5359
945.7077,867.24915,931.68524,1037.1388
943.90875,872.1693,937.1937,1044.0845
956.1443,873.26526,939.57404,1047.4789
966.0773,879.2947,946.5776,1056.3052
956.3681,883.58954,950.77344,1061.4388
961.8359,882.4424,950.88983,1062.162
956.17804,886.03076,955.89954,1068.7545
954.4729,884.98206,955.89874,1069.2177
951.3365,883.98615,954.02124,1066.6859
961.74927,882.7451,952.62695,1064.9832
994.31964,886.91675,956.2672,1069.1938
997.1314,897.70776,967.54425,1082.8569
1013.4379,902.8459,974.3819,1091.7695
1016.57916,912.3538,985.98224,1106.5275
1031.2979,917.476,993.0263,1115.7727
1014.9269,924.487,1000.974,1125.6736
1023.27716,921.8574,999.1154,1123.8821
1007.1697,924.62103,1001.51404,1126.5966
1009.7555,917.4116,993.141,1116.2904
1023.1452,918.4822,994.488,1118.0034
1014.1932,923.5547,1001.30206,1126.9025
1017.599,920.1683,997.5489,1122.4008
1029.3442,921.99316,1000.4569,1126.4456
1029.9965,929.3577,1010.24225,1139.1957
1023.27716,933.88916,1017.5542,1149.2
1021.6178,932.0599,1016.0304,1147.6404
1003.2688,931.45905,1015.2358,1146.7057
1012.2554,927.8291,1012.1597,1143.288
1031.3022,931.0645,1016.8339,1149.4553
1028.0399,936.2657,1022.78143,1156.9015
1010.6285,936.9031,1023.94366,1158.4619
1027.2343,935.2946,1023.3778,1158.2188
1038.764,941.9167,1032.3157,1169.9633
1046.9398,948.3301,1039.9722,1179.7268
1045.5011,953.6514,1045.8652,1187.1073
1044.5408,954.6877,1046.4963,1187.649
1049.0131,956.6564,1048.369,1189.8859
