model,MSE,RMSE,MAE,MAPE,R2,PICP,ReliabilityIndex,MPIW
gat-informer,5212.137214099496,72.19513289758179,49.70097097129879,8.822173521425619,0.9328805587301437,90.4535864978903,3.6339662447257393,247.4402496015572
gcn-informer,3313.048105879396,57.55908360875281,34.92581610645174,7.398444517685958,0.9573361312965358,89.92616033755274,4.614099859353024,173.36919207809598
gcn-lstm,3344.702149714081,57.83339994945897,37.03015944189478,7.586546511094975,0.956928505470729,92.1545358649789,6.139240506329113,198.85034405437102
informer,3246.1109207182258,56.974651562938284,36.46856854684217,8.747633588364565,0.9581981131017343,95.08175105485233,13.105661040787622,198.59922089551185
lstm,4518.526686102908,67.21998725158245,48.00195712712542,10.255246718429847,0.9418125424261604,96.29483122362869,11.778305203938116,263.14705021570313
