y_true,q0.1,q0.5,q0.9
986.6095,932.6603,1008.12036,1106.3281
1000.6891,925.7651,1001.2198,1098.0979
1004.06775,927.8164,1002.93805,1099.955
1028.6864,928.65485,1003.80426,1100.9032
1027.9476,934.11884,1010.0149,1108.3156
999.7022,932.97614,1009.8142,1108.2545
1002.7275,922.8739,1000.1769,1096.8928
1010.9996,919.1272,996.22736,1092.0498
1014.60223,915.5817,992.46216,1087.4746
1003.729,910.9389,987.7015,1081.7966
989.4326,901.5695,978.1829,1070.5042
965.2577,889.4046,965.5405,1055.4144
938.69617,871.8337,946.85443,1033.0236
918.2977,851.649,924.6156,1006.1928
877.5261,831.1733,901.1693,977.7153
868.04407,804.5488,870.15265,939.9912
841.9522,786.4815,847.8367,912.5055
813.21564,765.6056,822.5767,881.48724
787.4468,744.1875,796.8869,849.991
765.7729,723.451,772.2337,819.8269
741.6015,704.9281,749.8063,792.34235
720.13336,684.02374,725.358,762.5751
698.2167,662.7163,699.6457,733.3492
666.87164,627.6644,665.21466,697.7645
635.1539,583.3836,630.93646,665.41406
601.51416,540.3092,600.79913,638.9174
568.5975,498.02,571.08466,612.3212
535.7542,456.2151,541.7479,586.13824
499.04187,411.2033,510.36212,558.7534
464.3979,363.7216,477.40988,530.4987
428.5541,317.3188,445.3286,503.40182
393.86087,270.3869,412.92053,476.0831
358.76474,227.3467,383.11935,450.63474
321.69678,188.91557,356.35773,427.19138
287.04236,156.77126,333.83667,406.9695
253.97244,133.90927,317.7323,392.2587
827.1757,773.545,817.87976,872.82434
828.0617,781.0496,826.21405,882.9074
870.08875,786.18915,832.14526,890.18365
849.4735,803.85876,851.0136,912.79956
857.92163,804.5467,852.88824,915.43964
845.89923,811.1537,859.8226,923.7665
856.91174,809.5003,858.8081,922.8298
860.9712,814.1702,864.38525,929.6738
879.14526,818.3888,869.4752,935.94293
880.99817,827.0833,878.86255,947.2396
889.38983,830.4594,882.94214,952.30194
913.17236,834.4054,887.5265,957.9396
897.6441,842.84875,896.8964,969.3189
897.38184,841.76276,897.0691,969.91364
911.0181,844.9067,900.24554,973.69794
907.8781,847.25134,903.149,977.34406
905.25476,845.76355,903.08075,977.67456
912.5686,847.1466,905.1067,980.2341
913.3889,851.93677,910.2688,986.47656
914.3627,850.97906,910.5346,987.158
927.56616,852.9767,913.23016,990.5314
936.64954,860.1953,921.2005,1000.1928
945.7077,867.4288,928.9345,1009.5214
943.90875,873.46497,935.1313,1016.973
956.1443,872.8868,935.6257,1017.9246
966.0773,879.39105,942.9652,1026.841
956.3681,886.9081,950.3226,1035.5643
961.8359,882.5917,946.8595,1031.8184
956.17804,883.4925,948.9282,1034.5725
954.4729,881.43164,948.2505,1034.1299
951.3365,885.0734,952.18274,1038.8368
961.74927,885.54694,952.9152,1039.8127
994.31964,893.85425,960.61676,1048.7762
997.1314,907.2156,973.73486,1064.3533
1013.4379,911.2223,978.8457,1070.8254
1016.57916,918.6986,987.9202,1082.0052
1031.2979,923.1561,994.4347,1090.2592
1014.9269,931.87885,1004.9215,1103.0848
1023.27716,928.23834,1002.9633,1101.2214
1007.1697,933.64026,1009.0278,1108.4813
1009.7555,930.3285,1005.6923,1104.5765
1023.1452,929.68665,1004.96564,1103.7311
1014.1932,931.8858,1007.5233,1106.8264
1017.599,931.0245,1006.61884,1105.7384
1029.3442,930.9494,1006.3621,1105.4144
1029.9965,933.78687,1009.48755,1109.1923
1023.27716,934.02014,1010.47125,1110.4955
1021.6178,933.7323,1010.27246,1110.2452
1003.2688,934.76447,1010.7617,1110.6732
1012.2554,926.6296,1002.20734,1100.486
1031.3022,927.1963,1002.395,1100.5785
1028.0399,935.83905,1010.72253,1110.2953
1010.6285,938.22894,1013.51685,1113.696
1027.2343,934.1071,1010.1315,1109.8339
1038.764,941.44696,1017.984,1119.1112
1046.9398,948.69885,1025.8145,1128.4164
1045.5011,955.25275,1032.864,1136.8083
1044.5408,959.3081,1037.5094,1142.4214
1049.0131,962.31433,1041.1709,1146.8347
1073.5697,965.61523,1045.2697,1151.8126
1081.3217,975.21826,1056.325,1165.1256
1071.6624,979.57855,1062.2177,1172.4084
1083.463,975.50995,1059.6193,1169.65
1078.4465,976.4542,1061.8741,1172.4858
1067.9861,971.98444,1058.47,1168.6349
1079.9667,964.94995,1052.0854,1161.0809
988.8659,961.1315,1048.3096,1156.5176
947.2797,928.21796,1014.4214,1116.0718
1066.4274,905.7307,988.9823,1085.0516
1056.523,929.5464,1011.1317,1110.6786
1008.2698,923.76843,1005.62994,1104.2874
938.45526,902.95776,984.45856,1079.1713
981.1025,871.1487,950.53143,1038.4542
955.3876,871.2968,948.59973,1035.4282
930.93353,853.28174,928.2729,1010.7296
906.0453,831.9178,903.8391,981.02203
880.1223,810.4555,878.25073,949.74896
849.3674,785.76184,848.82495,913.81915
810.1996,758.73706,816.8468,874.8042
784.9852,730.9809,784.97186,836.02606
757.7398,706.85254,757.40405,802.4998
724.5934,684.1757,730.1231,769.7077
696.0871,650.6666,693.9362,733.7231
666.1711,604.8032,650.2734,690.79395
632.64996,565.2819,619.90515,661.50323
600.45715,524.10034,591.16205,636.55347
565.18604,484.0165,562.89844,610.8735
528.4836,439.6285,531.7171,582.8443
488.55377,392.05814,498.45416,553.4377
458.67477,341.44876,463.25565,522.92126
424.6323,297.2763,432.68646,496.9895
390.146,251.74156,401.08163,469.70184
355.76117,208.56477,370.9754,443.13382
321.30432,170.34122,344.15262,418.81824
286.4683,138.84789,321.92395,398.2107
253.28954,114.96044,304.93915,382.05566
834.3352,785.46344,832.6462,890.9679
829.5307,788.1706,836.02454,895.20685
831.3677,789.75104,838.30927,898.16846
828.4964,793.9171,843.7222,904.9283
875.64655,798.82684,849.89044,912.5796
893.0646,821.1967,873.3848,940.5636
907.1098,832.677,885.9789,955.8193
908.9706,841.664,895.8672,967.8393
896.502,845.4002,900.5868,973.7669
884.53406,843.4413,899.3023,972.48676
884.8168,840.07086,896.04083,968.7024
908.1907,838.9897,895.3611,968.03815
908.16095,845.2576,903.0109,977.44025
912.83276,848.0505,907.22974,982.81323
911.0145,850.1886,909.6824,985.8215
903.39667,846.30774,906.2766,981.99805
904.89044,842.23816,902.68976,977.9404
875.7461,840.38947,901.4057,976.6005
950.9301,829.49475,891.39124,965.0432
916.355,849.1091,911.4305,988.7944
724.67914,837.7797,900.98035,976.8007
759.0166,741.3246,817.12286,888.53485
894.2098,773.66595,843.6296,911.0002
977.5544,833.2601,902.30475,979.80646
970.7531,871.08923,938.7649,1022.7127
958.38745,878.26733,945.6628,1031.0009
938.05695,878.8598,946.3331,1031.9219
962.4852,873.5401,941.4071,1026.2334
965.0033,883.7471,951.5265,1038.1593
992.1785,888.75446,956.7845,1044.5101
983.06445,900.4005,970.19806,1060.8693
978.2506,903.0209,974.5551,1066.462
992.2866,904.4173,977.4444,1070.2295
997.1901,910.0472,984.3617,1078.6898
988.3835,912.8608,988.57245,1084.0325
980.7514,911.5793,988.5431,1084.3333
983.2597,911.22046,989.3716,1085.6282
989.7129,914.65436,993.50256,1090.6145
1008.7384,919.3887,997.92694,1095.7319
1017.04004,925.3848,1003.8375,1102.7583
1032.8727,927.88477,1007.60394,1107.6013
1022.23047,935.1997,1015.55505,1117.1031
1026.7676,933.3082,1014.9347,1116.7952
1023.6609,937.4216,1020.276,1123.3901
1020.501,938.6831,1022.6957,1126.4952
1014.8728,938.7592,1023.48096,1127.5348
1027.1509,938.30286,1023.1943,1127.192
1045.2623,941.2868,1026.2169,1130.7302
1027.4624,946.8257,1031.1322,1136.2935
1026.0565,939.1323,1022.6996,1126.1827
1033.4264,934.6825,1017.8375,1120.381
1040.1747,937.79535,1021.13,1124.3025
1061.1266,942.91113,1026.9731,1131.34
1054.4576,954.64453,1039.5721,1146.3248
1037.9806,958.63965,1044.1842,1151.858
1049.8462,957.60394,1042.9221,1150.227
1045.4899,962.2286,1047.337,1155.3932
1050.4579,961.6306,1047.368,1155.5557
1054.3042,965.34454,1051.6857,1160.7007
1061.8422,968.073,1055.0624,1164.7506
1078.3087,970.31134,1058.0419,1168.3896
1073.2915,976.8844,1065.1221,1176.8292
1071.7765,977.7575,1066.5503,1178.6046
1068.301,976.8572,1066.0297,1178.0117
1049.0671,970.77185,1060.4254,1171.4137
1042.1796,960.92,1050.6088,1159.6322
1034.9142,951.92957,1040.9918,1147.9423
1050.0186,944.23157,1031.8899,1136.6439
1042.0806,939.1528,1025.4368,1128.6649
1020.92896,928.30316,1013.8736,1114.7662
999.78516,911.3998,996.03455,1093.3668
980.142,894.7285,977.94305,1071.454
957.5685,876.45825,957.3715,1046.423
931.13275,855.9098,933.2527,1017.0148
902.16254,830.8123,904.36017,981.956
875.0096,804.5401,874.6052,945.8431
850.7044,778.66895,845.4526,910.43066
824.5572,755.72144,818.928,878.07996
797.9236,733.5663,793.7524,847.46594
770.95856,710.438,767.9322,816.808
744.01764,687.9163,741.3185,786.2054
715.79315,659.4119,709.79663,754.41846
685.709,618.0356,669.42316,718.1396
655.9882,571.80493,628.00476,678.8314
625.4169,531.83966,598.9623,652.0319
594.21674,496.3882,573.96924,629.3348
564.0747,461.17572,549.2234,607.1368
528.88806,422.1606,521.5829,581.39874
492.98465,379.465,491.49048,553.91254
457.7376,334.36972,460.1382,526.79474
424.56772,289.36255,428.8299,499.6061
390.82254,248.5056,400.111,473.5578
357.0249,210.90594,373.59067,449.11246
322.94073,177.74814,350.1127,427.11664
288.82886,149.47853,330.06015,408.20004
255.70862,128.92682,315.4613,394.41843
890.5623,837.9951,893.7995,965.4868
908.3346,842.4284,898.9924,971.91754
920.64124,851.0102,908.16785,983.02295
920.81995,858.5366,916.57544,993.31946
921.91235,862.55475,921.67957,999.75134
926.8676,865.8214,926.15295,1005.4335
917.0045,870.0492,931.4476,1012.0319
917.89124,869.8172,931.7947,1012.66296
914.12573,871.8642,934.1915,1015.6472
921.05316,872.7785,935.36255,1017.14734
941.8866,876.084,938.80286,1021.2863
971.4407,884.08136,947.24506,1031.4357
965.8052,896.74646,961.0924,1048.186
962.05457,900.1274,966.049,1054.5238
958.7166,902.9451,969.8978,1059.3727
989.1025,902.8029,970.624,1060.4791
985.4717,913.595,982.3928,1074.6735
974.35724,915.3159,985.53796,1078.8317
998.58685,913.6519,985.49835,1079.209
993.128,921.99884,995.2516,1091.0475
999.14746,921.52673,995.8683,1092.0873
999.30597,924.0925,999.19977,1096.2654
986.01086,924.9317,1001.0957,1098.8413
985.3963,920.95996,998.50903,1096.1095
990.949,919.1702,997.81445,1095.4978
1014.9452,920.25806,998.8666,1096.6952
1030.8037,928.1617,1006.4065,1105.6045
1012.8696,932.9957,1012.02563,1112.5908
1009.9041,926.05225,1006.6842,1106.7144
