y_true,q0.1,q0.5,q0.9
806.8845120081538,707.8994614843303,763.3220792341388,817.7085463204503
804.0581105192163,719.0401965394201,774.1300281805857,827.2634322200281
817.8219899550932,722.9981539233816,778.9900566919019,834.0399745448934
819.7120824416148,729.1332664892511,785.288353221737,842.5646073618891
817.8535126482062,732.177980315964,788.590306864654,847.3096229901832
818.8544561452985,734.318946025596,791.7545693131216,851.7163277212985
821.1981481245846,736.945114069273,795.321406427667,856.4701362189888
820.7181316486638,739.6675432139175,798.0688013734873,859.6681384238416
846.2485190445805,742.513194559888,801.4946616998735,863.6224841258813
798.1787413816992,751.6170578758566,812.7495871658066,875.0377109563451
819.916608717931,742.9924873763435,805.5712292693247,871.4130784155668
810.1370330803302,749.9269895053806,813.4404775111352,879.6617642241367
826.6787223450938,749.6210045867123,813.836362964519,880.46896223586
836.7972716486177,757.2974123169755,822.3705371956657,889.5491285395148
859.160810370372,762.6767867295621,828.7752013140536,896.1346356942112
884.5942137088429,770.2751673722269,837.9430452120915,904.5230901766772
883.9228245538652,780.0924572272501,846.7793216796507,912.0813534232286
875.2798890971528,780.5790300050365,848.3925780597158,914.3332688556445
891.4580516808003,779.7929806024861,848.7197295993326,915.3988065839515
892.4640672442755,786.1972328102414,854.627714875152,920.2674189470929
878.4701632356685,788.7790823573579,857.7456445074667,922.9610708421696
859.2125977208152,785.10553431931,854.5269860636977,921.6444599356023
882.6461485427985,779.6440903010348,851.3462689882352,919.9441730298165
900.9823057197158,790.5726832491857,860.750633261931,926.9542530554504
920.6968506328919,801.8973128202376,873.0581468807972,939.3087667681925
918.2348132228665,811.4155486779825,886.4609644950665,956.5049025234935
927.0731068470594,811.9682414186298,886.9404746886698,956.9701403800377
923.2188700604031,816.4332919520598,891.7554552461568,962.6787074926015
920.4670204941391,816.2082768861217,891.7024000865217,962.5954935300563
930.5886784462199,815.8736910354335,891.3269699857606,961.8586582516593
913.9056313388282,818.8287868964826,894.3636143071046,966.0517341656657
915.9344005044718,816.0833048440525,891.7309188135018,962.5057963973359
920.4518872870865,817.9779515874386,893.6910743122326,965.800461063388
936.4986366688249,819.0620856727644,894.9326471978519,967.3062682334452
